Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TN,FP,FN,TP,Training Seconds,validation_precision,validation_recall,validation_f1,best_epoch,best_validation_pr_auc
Decision Tree,0.9990794304452506,0.9980337769039008,0.45977011494252873,0.8163265306122449,0.5882352941176471,0.8832638992569453,0.38233561262052784,28385,47,9,40,33.84804964065552,0.45569620253164556,0.7346938775510204,0.5624999999999999,,
Random Forest,0.8322407303682432,0.9995084442259752,0.9069767441860465,0.7959183673469388,0.8478260869565217,0.9751458546277262,0.8653548726875063,28428,4,10,39,331.2970185279846,0.9,0.7346938775510204,0.8089887640449438,,
XGBoost,0.93455970287323,0.9996488887328394,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.9793965982566353,0.9033879507411986,28429,3,7,42,11.038058042526245,0.9512195121951219,0.7959183673469388,0.8666666666666666,,
Isolation Forest,-0.0019623447716148323,0.9974017766230119,0.2727272727272727,0.30612244897959184,0.28846153846153844,0.9528944104372193,0.16433179620345367,28392,40,34,15,4.869132041931152,0.25862068965517243,0.30612244897959184,0.2803738317757009,,
Primary NN - Tabular MLP,0.9838983416557312,0.999403110845827,0.8478260869565217,0.7959183673469388,0.8210526315789474,0.9800210742710139,0.8267043216826518,28425,7,10,39,20.88003897666931,0.8297872340425532,0.7959183673469388,0.8125,2.0,0.7700777429924166
NN Autoencoder Anomaly Detector,12.052119255065918,0.9983146659176293,0.5151515151515151,0.3469387755102041,0.4146341463414634,0.9614971058766781,0.49668060542351344,28416,16,32,17,18.515178203582764,0.6176470588235294,0.42857142857142855,0.5060240963855421,,
