Slice Type,Slice,Total,Normal Count,Fraud Count,Flag Rate,False Positive Rate,Fraud Recall
Amount_Bin,Low,7126,7100,26,0.0032276171765366264,0.00042253521126760566,0.7692307692307693
Amount_Bin,Medium-Low,7115,7112,3,0.00042164441321152494,0.0,1.0
Amount_Bin,Medium-High,7136,7132,4,0.0005605381165919282,0.00014021312394840157,0.75
Amount_Bin,High,7104,7088,16,0.0022522522522522522,0.00042325056433408577,0.8125
Time_Bin,Night,2457,2446,11,0.004477004477004477,0.0012264922322158627,0.7272727272727273
Time_Bin,Morning,6994,6980,14,0.002287675150128682,0.0005730659025787965,0.8571428571428571
Time_Bin,Afternoon,9677,9664,13,0.0011367159243567222,0.0,0.8461538461538461
Time_Bin,Evening,9353,9342,11,0.0008553405324494814,0.0,0.7272727272727273
